plate_combination,plates,weights_kg,total_kg,total_x2_kg,num_plates
A,['A'],[10],10.0,20.0,1
C,['C'],[16.5],16.5,33.0,1
B,['B'],[19.31],19.31,38.62,1
D,['D'],[24.2],24.2,48.4,1
A+C,"['A', 'C']","[10, 16.5]",26.5,53.0,2
A+B,"['A', 'B']","[10, 19.31]",29.31,58.62,2
A+D,"['A', 'D']","[10, 24.2]",34.2,68.4,2
B+C,"['B', 'C']","[19.31, 16.5]",35.81,71.62,2
C+D,"['C', 'D']","[16.5, 24.2]",40.7,81.4,2
B+D,"['B', 'D']","[19.31, 24.2]",43.51,87.02,2
A+B+C,"['A', 'B', 'C']","[10, 19.31, 16.5]",45.81,91.62,3
E,['E'],[50],50.0,100.0,1
A+C+D,"['A', 'C', 'D']","[10, 16.5, 24.2]",50.7,101.4,3
A+B+D,"['A', 'B', 'D']","[10, 19.31, 24.2]",53.51,107.02,3
A+E,"['A', 'E']","[10, 50]",60.0,120.0,2
B+C+D,"['B', 'C', 'D']","[19.31, 16.5, 24.2]",60.01,120.02,3
C+E,"['C', 'E']","[16.5, 50]",66.5,133.0,2
B+E,"['B', 'E']","[19.31, 50]",69.31,138.62,2
D+E,"['D', 'E']","[24.2, 50]",74.2,148.4,2
A+C+E,"['A', 'C', 'E']","[10, 16.5, 50]",76.5,153.0,3
A+B+E,"['A', 'B', 'E']","[10, 19.31, 50]",79.31,158.62,3
A+D+E,"['A', 'D', 'E']","[10, 24.2, 50]",84.2,168.4,3
B+C+E,"['B', 'C', 'E']","[19.31, 16.5, 50]",85.81,171.62,3
C+D+E,"['C', 'D', 'E']","[16.5, 24.2, 50]",90.7,181.4,3
B+D+E,"['B', 'D', 'E']","[19.31, 24.2, 50]",93.51,187.02,3
